point_id,network,pair_id,date,latitude,longitude,elevation_m,temp_c,precip_mm
P001,precipitation,PAIR001,2001-01-01,46.250000,-93.500000,386.276306,,31.396866
P001,precipitation,PAIR001,2001-02-01,46.250000,-93.500000,386.276306,,46.409607
P001,precipitation,PAIR001,2001-03-01,46.250000,-93.500000,386.276306,,27.612686
P001,precipitation,PAIR001,2001-04-01,46.250000,-93.500000,386.276306,,211.601257
P001,precipitation,PAIR001,2001-05-01,46.250000,-93.500000,386.276306,,116.363525
P001,precipitation,PAIR001,2001-06-01,46.250000,-93.500000,386.276306,,146.369934
P001,precipitation,PAIR001,2001-07-01,46.250000,-93.500000,386.276306,,56.940079
P001,precipitation,PAIR001,2001-08-01,46.250000,-93.500000,386.276306,,66.991806
P001,precipitation,PAIR001,2001-09-01,46.250000,-93.500000,386.276306,,47.721863
P001,precipitation,PAIR001,2001-10-01,46.250000,-93.500000,386.276306,,81.655502
P001,precipitation,PAIR001,2001-11-01,46.250000,-93.500000,386.276306,,71.582794
P001,precipitation,PAIR001,2001-12-01,46.250000,-93.500000,386.276306,,34.235001
P001,precipitation,PAIR001,2002-01-01,46.250000,-93.500000,386.276306,,9.460449
P001,precipitation,PAIR001,2002-02-01,46.250000,-93.500000,386.276306,,47.317505
P001,precipitation,PAIR001,2002-03-01,46.250000,-93.500000,386.276306,,51.382065
P001,precipitation,PAIR001,2002-04-01,46.250000,-93.500000,386.276306,,97.503662
P001,precipitation,PAIR001,2002-05-01,46.250000,-93.500000,386.276306,,76.156616
P001,precipitation,PAIR001,2002-06-01,46.250000,-93.500000,386.276306,,67.749023
P001,precipitation,PAIR001,2002-07-01,46.250000,-93.500000,386.276306,,100.339890
P001,precipitation,PAIR001,2002-08-01,46.250000,-93.500000,386.276306,,160.650253
P001,precipitation,PAIR001,2002-09-01,46.250000,-93.500000,386.276306,,79.994202
P001,precipitation,PAIR001,2002-10-01,46.250000,-93.500000,386.276306,,98.152161
P001,precipitation,PAIR001,2002-11-01,46.250000,-93.500000,386.276306,,6.980896
P001,precipitation,PAIR001,2002-12-01,46.250000,-93.500000,386.276306,,22.172928
P001,precipitation,PAIR001,2003-01-01,46.250000,-93.500000,386.276306,,13.481140
P001,precipitation,PAIR001,2003-02-01,46.250000,-93.500000,386.276306,,9.773254
P001,precipitation,PAIR001,2003-03-01,46.250000,-93.500000,386.276306,,33.111572
P001,precipitation,PAIR001,2003-04-01,46.250000,-93.500000,386.276306,,110.549927
P001,precipitation,PAIR001,2003-05-01,46.250000,-93.500000,386.276306,,106.193542
P001,precipitation,PAIR001,2003-06-01,46.250000,-93.500000,386.276306,,208.854675
P001,precipitation,PAIR001,2003-07-01,46.250000,-93.500000,386.276306,,65.750122
P001,precipitation,PAIR001,2003-08-01,46.250000,-93.500000,386.276306,,38.906097
P001,precipitation,PAIR001,2003-09-01,46.250000,-93.500000,386.276306,,104.255676
P001,precipitation,PAIR001,2003-10-01,46.250000,-93.500000,386.276306,,42.217255
P001,precipitation,PAIR001,2003-11-01,46.250000,-93.500000,386.276306,,46.405792
P001,precipitation,PAIR001,2003-12-01,46.250000,-93.500000,386.276306,,17.620087
P001,precipitation,PAIR001,2004-01-01,46.250000,-93.500000,386.276306,,30.835152
P001,precipitation,PAIR001,2004-02-01,46.250000,-93.500000,386.276306,,32.800674
P001,precipitation,PAIR001,2004-03-01,46.250000,-93.500000,386.276306,,62.734604
P001,precipitation,PAIR001,2004-04-01,46.250000,-93.500000,386.276306,,82.397461
P001,precipitation,PAIR001,2004-05-01,46.250000,-93.500000,386.276306,,136.585236
P001,precipitation,PAIR001,2004-06-01,46.250000,-93.500000,386.276306,,108.318329
P001,precipitation,PAIR001,2004-07-01,46.250000,-93.500000,386.276306,,90.169907
P001,precipitation,PAIR001,2004-08-01,46.250000,-93.500000,386.276306,,81.241608
P001,precipitation,PAIR001,2004-09-01,46.250000,-93.500000,386.276306,,121.307373
P001,precipitation,PAIR001,2004-10-01,46.250000,-93.500000,386.276306,,119.911194
P001,precipitation,PAIR001,2004-11-01,46.250000,-93.500000,386.276306,,23.345947
P001,precipitation,PAIR001,2004-12-01,46.250000,-93.500000,386.276306,,33.377647
P001,precipitation,PAIR001,2005-01-01,46.250000,-93.500000,386.276306,,50.081253
P001,precipitation,PAIR001,2005-02-01,46.250000,-93.500000,386.276306,,21.575928
P001,precipitation,PAIR001,2005-03-01,46.250000,-93.500000,386.276306,,26.784897
P001,precipitation,PAIR001,2005-04-01,46.250000,-93.500000,386.276306,,75.187683
P001,precipitation,PAIR001,2005-05-01,46.250000,-93.500000,386.276306,,103.710175
P001,precipitation,PAIR001,2005-06-01,46.250000,-93.500000,386.276306,,151.805878
P001,precipitation,PAIR001,2005-07-01,46.250000,-93.500000,386.276306,,43.754578
P001,precipitation,PAIR001,2005-08-01,46.250000,-93.500000,386.276306,,31.574249
P001,precipitation,PAIR001,2005-09-01,46.250000,-93.500000,386.276306,,90.751648
P001,precipitation,PAIR001,2005-10-01,46.250000,-93.500000,386.276306,,134.988785
P001,precipitation,PAIR001,2005-11-01,46.250000,-93.500000,386.276306,,93.727112
P001,precipitation,PAIR001,2005-12-01,46.250000,-93.500000,386.276306,,35.624504
P001,precipitation,PAIR001,2006-01-01,46.250000,-93.500000,386.276306,,16.910553
P001,precipitation,PAIR001,2006-02-01,46.250000,-93.500000,386.276306,,17.997742
P001,precipitation,PAIR001,2006-03-01,46.250000,-93.500000,386.276306,,40.088654
P001,precipitation,PAIR001,2006-04-01,46.250000,-93.500000,386.276306,,86.574554
