pair_id,temperature_point_id,precipitation_point_id,temperature_latitude,temperature_longitude,temperature_elevation_m,precipitation_latitude,precipitation_longitude,precipitation_elevation_m,distance_km
PAIR001,T001,P001,46.750000,-93.750000,391.023163,46.250000,-93.500000,386.276306,58.798300
PAIR002,T002,P002,25.250000,-81.000000,2.436415,25.750000,-81.250000,2.976944,60.996933
PAIR003,T003,P003,31.500000,-110.500000,1526.621704,32.000000,-110.250000,1340.687988,60.414145
PAIR004,T004,P004,38.250000,-121.500000,-4.966088,37.750000,-121.250000,37.036263,59.757331
PAIR005,T005,P005,48.750000,-120.500000,1715.930786,48.250000,-120.750000,1625.158203,58.569386
PAIR006,T006,P006,36.250000,-81.750000,984.405518,35.750000,-81.500000,374.469513,59.973857
PAIR007,T007,P007,48.500000,-123.750000,229.196594,48.000000,-123.500000,769.809509,58.597965
PAIR008,T008,P008,41.750000,-70.750000,18.556694,42.250000,-71.000000,26.672600,59.311474
PAIR009,T009,P009,40.250000,-123.750000,591.563110,39.750000,-123.500000,555.995728,59.536192
PAIR010,T010,P010,29.000000,-100.750000,300.089569,29.500000,-100.500000,443.074890,60.657653
PAIR011,T011,P011,40.750000,-105.750000,2788.696045,40.250000,-105.500000,2646.648193,59.480308
PAIR012,T012,P012,39.000000,-94.250000,273.270233,38.500000,-94.500000,283.814362,59.674889
PAIR013,T013,P013,42.500000,-73.000000,465.987854,42.000000,-72.750000,133.044540,59.283185
PAIR014,T014,P014,37.500000,-101.000000,905.243286,37.000000,-101.250000,928.454163,59.839123
PAIR015,T015,P015,33.750000,-117.500000,348.982178,34.250000,-117.750000,942.220764,60.184771
PAIR016,T016,P016,45.250000,-104.750000,1090.260864,44.750000,-104.500000,1237.754028,58.970011
PAIR017,T017,P017,33.250000,-85.750000,301.681305,33.750000,-86.000000,220.431030,60.236510
PAIR018,T018,P018,37.750000,-119.750000,1819.319336,37.250000,-119.500000,1187.509521,59.811934
PAIR019,T019,P019,47.000000,-67.750000,214.223495,46.500000,-67.500000,226.112350,58.769665
PAIR020,T020,P020,27.250000,-97.500000,1.166151,27.750000,-97.750000,23.383615,60.820119
PAIR021,T021,P021,45.750000,-122.000000,590.737000,45.250000,-121.750000,1022.399902,58.912806
PAIR022,T022,P022,32.750000,-114.750000,63.379993,33.250000,-114.500000,259.551483,60.287822
PAIR023,T023,P023,36.250000,-78.000000,80.456650,35.750000,-77.750000,30.346365,59.973857
PAIR024,T024,P024,42.750000,-118.250000,1500.210693,42.250000,-118.000000,1590.524414,59.254859
PAIR025,T025,P025,42.000000,-98.000000,563.636047,41.500000,-98.250000,584.928589,59.339724
PAIR026,T026,P026,43.500000,-124.250000,66.620377,43.500000,-123.500000,311.268616,60.493341
PAIR027,T027,P027,43.250000,-88.000000,235.999222,43.250000,-88.750000,267.483368,60.743248
PAIR028,T028,P028,38.250000,-78.500000,328.878235,37.750000,-78.750000,245.927109,59.757331
PAIR029,T029,P029,31.750000,-101.250000,783.341431,32.250000,-101.000000,679.249939,60.389111
PAIR030,T030,P030,45.250000,-109.750000,2499.507080,44.750000,-109.500000,2433.582275,58.970011
PAIR031,T031,P031,35.750000,-105.500000,2570.776367,35.250000,-105.750000,2063.059326,60.027150
PAIR032,T032,P032,38.500000,-122.500000,264.519012,38.000000,-122.250000,95.480736,59.729920
PAIR033,T033,P033,36.500000,-114.750000,811.917419,36.000000,-115.000000,667.203369,59.947078
PAIR034,T034,P034,34.750000,-92.250000,98.514397,35.250000,-92.500000,140.755737,60.080077
PAIR035,T035,P035,35.250000,-97.750000,384.833984,35.750000,-97.500000,332.852753,60.027150
PAIR036,T036,P036,42.750000,-124.250000,309.124420,42.250000,-124.000000,634.572449,59.254859
PAIR037,T037,P037,41.250000,-103.000000,1281.244141,40.750000,-103.250000,1293.262451,59.424215
PAIR038,T038,P038,48.750000,-101.750000,534.167419,48.250000,-102.000000,659.704834,58.569386
PAIR039,T039,P039,32.000000,-112.000000,675.501282,32.500000,-112.250000,680.886658,60.363960
PAIR040,T040,P040,41.750000,-74.250000,245.753448,41.250000,-74.500000,253.299744,59.367932
PAIR041,T041,P041,38.750000,-109.750000,1518.105103,38.250000,-110.000000,1572.282715,59.702439
PAIR042,T042,P042,48.750000,-112.250000,1153.239868,48.250000,-112.000000,1087.492920,58.569386
PAIR043,T043,P043,47.250000,-88.250000,222.581985,46.750000,-88.000000,366.957062,58.741033
