station,known_group,date,temp_c,precip_mm
Bangkok,Tropical,1991-01-01,28.45,1.24
Bangkok,Tropical,1991-02-01,29.3,9.52
Bangkok,Tropical,1991-03-01,31.46,17.67
Bangkok,Tropical,1991-04-01,31.01,55.8
Bangkok,Tropical,1991-05-01,29.49,135.16
Bangkok,Tropical,1991-06-01,28.54,101.4
Bangkok,Tropical,1991-07-01,28.2,136.09
Bangkok,Tropical,1991-08-01,27.59,147.87
Bangkok,Tropical,1991-09-01,27.31,259.2
Bangkok,Tropical,1991-10-01,26.14,172.67
Bangkok,Tropical,1991-11-01,24.62,13.8
Bangkok,Tropical,1991-12-01,25.17,14.26
Bangkok,Tropical,1992-01-01,25.74,6.2
Bangkok,Tropical,1992-02-01,28.46,8.99
Bangkok,Tropical,1992-03-01,30.76,4.65
Bangkok,Tropical,1992-04-01,32.75,18.9
Bangkok,Tropical,1992-05-01,30.66,82.77
Bangkok,Tropical,1992-06-01,28.93,126.3
Bangkok,Tropical,1992-07-01,28.42,190.96
Bangkok,Tropical,1992-08-01,26.99,187.55
Bangkok,Tropical,1992-09-01,27.15,183.0
Bangkok,Tropical,1992-10-01,25.85,262.57
Bangkok,Tropical,1992-11-01,24.07,0.9
Bangkok,Tropical,1992-12-01,25.43,12.4
Bangkok,Tropical,1993-01-01,26.64,6.82
Bangkok,Tropical,1993-02-01,27.95,0.84
Bangkok,Tropical,1993-03-01,29.72,53.94
Bangkok,Tropical,1993-04-01,30.37,59.1
Bangkok,Tropical,1993-05-01,29.89,133.61
Bangkok,Tropical,1993-06-01,28.99,107.7
Bangkok,Tropical,1993-07-01,28.46,117.8
Bangkok,Tropical,1993-08-01,27.42,211.11
Bangkok,Tropical,1993-09-01,27.11,255.3
Bangkok,Tropical,1993-10-01,26.55,178.56
Bangkok,Tropical,1993-11-01,25.54,3.0
Bangkok,Tropical,1993-12-01,24.15,2.79
Bangkok,Tropical,1994-01-01,27.74,2.17
Bangkok,Tropical,1994-02-01,30.21,2.24
Bangkok,Tropical,1994-03-01,29.52,74.4
Bangkok,Tropical,1994-04-01,30.5,64.5
Bangkok,Tropical,1994-05-01,29.07,235.91
Bangkok,Tropical,1994-06-01,27.33,225.3
Bangkok,Tropical,1994-07-01,27.1,87.73
Bangkok,Tropical,1994-08-01,26.98,159.96
Bangkok,Tropical,1994-09-01,26.82,258.3
Bangkok,Tropical,1994-10-01,25.56,123.69
Bangkok,Tropical,1994-11-01,25.43,3.0
Bangkok,Tropical,1994-12-01,26.42,9.3
Bangkok,Tropical,1995-01-01,27.12,6.82
Bangkok,Tropical,1995-02-01,28.3,1.68
Bangkok,Tropical,1995-03-01,30.59,24.18
Bangkok,Tropical,1995-04-01,31.47,30.9
Bangkok,Tropical,1995-05-01,29.1,151.9
Bangkok,Tropical,1995-06-01,28.37,120.3
Bangkok,Tropical,1995-07-01,27.49,170.5
