station,known_group,month,temp_c,precip_mm
Bangkok,Tropical,1,26.447,13.020
Bangkok,Tropical,2,28.758,12.876
Bangkok,Tropical,3,30.311,42.418
Bangkok,Tropical,4,30.683,77.800
Bangkok,Tropical,5,29.452,165.199
Bangkok,Tropical,6,28.367,156.430
Bangkok,Tropical,7,27.801,160.807
Bangkok,Tropical,8,27.523,184.440
Bangkok,Tropical,9,27.163,275.590
Bangkok,Tropical,10,26.790,199.671
Bangkok,Tropical,11,25.623,35.340
Bangkok,Tropical,12,24.819,7.915
Jakarta,Tropical,1,26.771,341.651
Jakarta,Tropical,2,26.645,340.876
Jakarta,Tropical,3,27.120,232.862
Jakarta,Tropical,4,27.512,192.860
Jakarta,Tropical,5,27.658,139.779
Jakarta,Tropical,6,27.212,91.030
Jakarta,Tropical,7,26.737,78.647
Jakarta,Tropical,8,26.764,53.186
Jakarta,Tropical,9,27.469,65.220
Jakarta,Tropical,10,27.959,133.176
Jakarta,Tropical,11,27.820,195.620
Jakarta,Tropical,12,27.244,231.611
Kuala Lumpur,Tropical,1,24.640,191.415
Kuala Lumpur,Tropical,2,25.041,150.365
Kuala Lumpur,Tropical,3,25.696,199.526
Kuala Lumpur,Tropical,4,26.200,232.810
Kuala Lumpur,Tropical,5,26.222,191.859
Kuala Lumpur,Tropical,6,25.704,150.000
Kuala Lumpur,Tropical,7,25.261,164.600
Kuala Lumpur,Tropical,8,25.281,187.643
Kuala Lumpur,Tropical,9,25.372,192.210
Kuala Lumpur,Tropical,10,25.406,245.706
Kuala Lumpur,Tropical,11,25.247,307.240
Kuala Lumpur,Tropical,12,24.772,259.956
London,Mid-latitude,1,4.059,64.077
London,Mid-latitude,2,4.217,50.233
London,Mid-latitude,3,6.232,46.552
London,Mid-latitude,4,8.789,47.900
London,Mid-latitude,5,12.123,53.155
London,Mid-latitude,6,15.229,57.670
London,Mid-latitude,7,17.505,55.294
London,Mid-latitude,8,17.303,62.558
London,Mid-latitude,9,14.516,55.040
London,Mid-latitude,10,10.889,74.886
London,Mid-latitude,11,7.111,74.140
London,Mid-latitude,12,4.618,72.437
Manila,Tropical,1,23.470,139.944
Manila,Tropical,2,23.940,130.767
Manila,Tropical,3,25.301,105.958
Manila,Tropical,4,27.167,98.330
Manila,Tropical,5,27.784,156.881
Manila,Tropical,6,27.107,225.200
Manila,Tropical,7,26.255,292.299
Manila,Tropical,8,26.073,268.822
Manila,Tropical,9,26.033,279.610
Manila,Tropical,10,25.763,317.192
Manila,Tropical,11,25.104,321.780
Manila,Tropical,12,24.177,385.185
New York,Mid-latitude,1,1.131,102.042
New York,Mid-latitude,2,1.335,87.875
New York,Mid-latitude,3,4.060,115.372
New York,Mid-latitude,4,8.839,101.320
New York,Mid-latitude,5,14.123,97.702
New York,Mid-latitude,6,19.716,103.540
New York,Mid-latitude,7,23.506,110.174
New York,Mid-latitude,8,23.345,110.835
New York,Mid-latitude,9,20.252,101.600
New York,Mid-latitude,10,14.582,108.562
New York,Mid-latitude,11,8.946,96.560
New York,Mid-latitude,12,4.268,120.859
Paris,Mid-latitude,1,2.978,53.940
Paris,Mid-latitude,2,3.622,48.135
Paris,Mid-latitude,3,6.843,47.275
Paris,Mid-latitude,4,10.025,44.660
Paris,Mid-latitude,5,13.800,61.917
Paris,Mid-latitude,6,17.062,57.540
Paris,Mid-latitude,7,19.258,52.752
Paris,Mid-latitude,8,19.074,54.374
Paris,Mid-latitude,9,15.499,49.950
Paris,Mid-latitude,10,11.290,59.944
Paris,Mid-latitude,11,6.611,60.560
Paris,Mid-latitude,12,3.503,72.147
Seoul,Mid-latitude,1,-3.211,20.729
Seoul,Mid-latitude,2,-1.011,30.601
Seoul,Mid-latitude,3,3.622,40.569
Seoul,Mid-latitude,4,9.744,69.630
Seoul,Mid-latitude,5,15.595,92.483
Seoul,Mid-latitude,6,20.598,124.830
Seoul,Mid-latitude,7,23.972,332.609
Seoul,Mid-latitude,8,24.758,278.845
Seoul,Mid-latitude,9,20.211,138.410
Seoul,Mid-latitude,10,13.716,55.614
Seoul,Mid-latitude,11,6.399,48.690
Seoul,Mid-latitude,12,-0.683,24.635
Singapore,Tropical,1,25.879,208.527
Singapore,Tropical,2,26.147,102.878
Singapore,Tropical,3,26.963,162.967
Singapore,Tropical,4,27.755,190.650
Singapore,Tropical,5,27.958,184.936
Singapore,Tropical,6,27.513,157.030
Singapore,Tropical,7,27.062,170.645
Singapore,Tropical,8,26.985,169.095
Singapore,Tropical,9,27.061,155.630
Singapore,Tropical,10,27.195,195.724
Singapore,Tropical,11,26.820,276.690
Singapore,Tropical,12,26.190,302.777
Tokyo,Mid-latitude,1,4.778,75.816
Tokyo,Mid-latitude,2,5.394,70.106
Tokyo,Mid-latitude,3,8.698,130.944
Tokyo,Mid-latitude,4,13.531,133.920
Tokyo,Mid-latitude,5,18.128,145.462
Tokyo,Mid-latitude,6,21.668,181.620
Tokyo,Mid-latitude,7,25.394,160.539
Tokyo,Mid-latitude,8,26.683,123.246
Tokyo,Mid-latitude,9,23.527,208.780
Tokyo,Mid-latitude,10,18.085,223.355
Tokyo,Mid-latitude,11,12.709,110.560
Tokyo,Mid-latitude,12,7.393,70.391
